client_id,client_type,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,age,total_properties,total_spend,average_property_price,maximum_property_price,total_area_sqft,average_area_sqft,is_investor,loan_flag,company_flag,avg_spend_per_property,cluster,segment
C0013,Individual,M,USA,California,Home,1,Yes,Website,61.4,5,2142750.89,428550.178,562818.96,7036.88,1407.376,False,True,False,428550.178,2,Higher-Value Property Buyers
C0014,Company,M,USA,California,Home,3,Yes,Website,43.5,4,1548140.0699999998,387035.0175,531267.61,5122.17,1280.5425,False,True,True,387035.0175,2,Higher-Value Property Buyers
C0015,Individual,F,USA,California,Home,5,No,Client,53.5,5,1585907.37,317181.47400000005,426442.43,5153.82,1030.764,False,False,False,317181.47400000005,1,Mainstream Lower-Value Buyers
C0016,Individual,F,USA,California,Investment,5,No,Website,84.3,4,1010217.73,252554.4325,287917.8,3368.58,842.145,True,False,False,252554.4325,1,Mainstream Lower-Value Buyers
C0017,Individual,M,USA,Arizona,Home,3,No,Client,47.0,5,1778693.75,355738.75,568732.24,5979.07,1195.814,False,False,False,355738.75,2,Higher-Value Property Buyers
C0018,Individual,M,USA,California,Home,2,Yes,Agency,56.9,4,1061478.67,265369.6675,461655.95,3655.33,913.8325,False,True,False,265369.6675,1,Mainstream Lower-Value Buyers
C0019,Individual,M,USA,California,Home,5,Yes,Client,66.3,4,1773474.26,443368.565,599245.34,5608.17,1402.0425,False,True,False,443368.565,2,Higher-Value Property Buyers
C0020,Individual,F,USA,California,Home,5,No,Website,53.5,4,1508032.25,377008.0625,505470.6,5228.32,1307.08,False,False,False,377008.0625,2,Higher-Value Property Buyers
C0021,Individual,M,USA,Oregon,Investment,3,No,Website,85.6,6,1928172.72,321362.12,555614.35,6173.16,1028.86,True,False,False,321362.12,0,High-Activity Investment-Oriented Buyers
C0022,Individual,M,Germany,Berlin,Investment,5,No,Agency,53.5,4,1372403.2,343100.8,453294.55,4989.9400000000005,1247.485,True,False,False,343100.8,2,Higher-Value Property Buyers
C0023,Individual,M,USA,California,Home,3,Yes,Website,65.1,5,1457871.69,291574.338,408265.89,4741.9400000000005,948.388,False,True,False,291574.338,1,Mainstream Lower-Value Buyers
C0024,Individual,M,USA,California,Investment,4,No,Website,60.2,6,1884156.9,314026.15,560195.06,6322.41,1053.735,True,False,False,314026.15,0,High-Activity Investment-Oriented Buyers
C0025,Individual,M,USA,Nevada,Home,2,Yes,Website,53.5,5,1694448.83,338889.766,518174.75,5602.88,1120.576,False,True,False,338889.766,2,Higher-Value Property Buyers
C0026,Individual,M,USA,California,Investment,5,No,Website,53.5,10,2932241.75,293224.175,436987.95,10023.83,1002.383,True,False,False,293224.175,0,High-Activity Investment-Oriented Buyers
C0027,Individual,M,USA,California,Home,5,Yes,Website,55.3,5,1517969.44,303593.888,427086.44,5351.17,1070.234,False,True,False,303593.888,1,Mainstream Lower-Value Buyers
C0028,Individual,F,USA,California,Home,3,No,Client,53.5,5,1791082.79,358216.558,512682.59,6331.83,1266.366,False,False,False,358216.558,2,Higher-Value Property Buyers
C0029,Individual,F,USA,Colorado,Home,4,Yes,Agency,53.5,4,1247795.31,311948.8275,410549.3,3972.2,993.05,False,True,False,311948.8275,1,Mainstream Lower-Value Buyers
C0030,Individual,F,USA,Nevada,Home,3,No,Website,53.5,4,1547311.29,386827.8225,545645.2,5117.49,1279.3725,False,False,False,386827.8225,2,Higher-Value Property Buyers
C0031,Individual,M,USA,Nevada,Home,4,Yes,Website,53.5,5,1077148.21,215429.642,258061.02,3386.7,677.3399999999999,False,True,False,215429.642,1,Mainstream Lower-Value Buyers
C0032,Individual,M,USA,California,Home,4,No,Website,57.4,5,1888995.16,377799.032,490429.65,6412.64,1282.528,False,False,False,377799.032,2,Higher-Value Property Buyers
C0033,Individual,F,USA,California,Home,3,Yes,Website,53.5,4,1404998.67,351249.6675,376964.62,5001.73,1250.4325,False,True,False,351249.6675,2,Higher-Value Property Buyers
C0034,Individual,F,Belgium,Brussels,Home,2,No,Agency,53.5,5,1632608.66,326521.732,508462.97,5802.780000000001,1160.556,False,False,False,326521.732,2,Higher-Value Property Buyers
C0035,Individual,M,Mexico,Mexico City,Home,3,No,Agency,58.6,5,1987876.4,397575.28,539968.61,7228.76,1445.752,False,False,False,397575.28,2,Higher-Value Property Buyers
C0036,Individual,M,USA,California,Home,4,No,Website,50.3,4,1173683.53,293420.8825,437900.49,3853.3,963.325,False,False,False,293420.8825,1,Mainstream Lower-Value Buyers
C0037,Individual,F,USA,California,Home,5,Yes,Website,53.5,5,1607228.75,321445.75,482067.87,5091.84,1018.368,False,True,False,321445.75,2,Higher-Value Property Buyers
C0038,Individual,F,USA,California,Investment,4,No,Client,53.5,4,1175129.27,293782.3175,407214.29,4420.49,1105.1225,True,False,False,293782.3175,1,Mainstream Lower-Value Buyers
C0039,Individual,F,Russia,Krasnodar Krai,Home,1,No,Agency,53.5,4,1858527.54,464631.885,626247.03,5462.72,1365.68,False,False,False,464631.885,2,Higher-Value Property Buyers
C0040,Individual,M,USA,Nevada,Home,5,No,Website,53.5,6,1854608.29,309101.38166666665,507842.87,6286.8,1047.8,False,False,False,309101.38166666665,0,High-Activity Investment-Oriented Buyers
C0041,Individual,M,USA,Arizona,Home,1,Yes,Website,53.5,5,1374460.79,274892.158,405898.92,4364.19,872.838,False,True,False,274892.158,1,Mainstream Lower-Value Buyers
C0042,Individual,F,USA,Utah,Home,1,Yes,Website,48.4,4,1101390.25,275347.5625,364280.42,3655.37,913.8425,False,True,False,275347.5625,1,Mainstream Lower-Value Buyers
C0043,Individual,M,USA,Nevada,Investment,3,Yes,Website,58.7,4,1126492.46,281623.115,467216.3,3934.02,983.505,True,True,False,281623.115,1,Mainstream Lower-Value Buyers
C0044,Individual,F,USA,Arizona,Home,3,No,Website,53.5,4,1330493.26,332623.315,519866.77,4427.47,1106.8675,False,False,False,332623.315,2,Higher-Value Property Buyers
C0045,Individual,M,USA,Colorado,Investment,2,No,Agency,55.2,5,1463432.36,292686.47199999995,592737.69,4568.87,913.774,True,False,False,292686.47199999995,1,Mainstream Lower-Value Buyers
C0046,Individual,F,USA,California,Home,5,No,Client,53.5,8,2026517.4,253314.675,388515.14,6862.4400000000005,857.8050000000001,False,False,False,253314.675,0,High-Activity Investment-Oriented Buyers
C0047,Individual,M,USA,Colorado,Home,2,No,Agency,53.5,5,1438239.28,287647.856,459403.88,4767.84,953.568,False,False,False,287647.856,1,Mainstream Lower-Value Buyers
C0048,Individual,M,USA,California,Home,3,Yes,Agency,53.5,4,1338718.0,334679.5,493044.25,4105.280000000001,1026.3200000000002,False,True,False,334679.5,1,Mainstream Lower-Value Buyers
C0049,Individual,F,USA,California,Home,1,No,Website,53.5,4,1390091.2,347522.8,533120.65,4817.47,1204.3675,False,False,False,347522.8,2,Higher-Value Property Buyers
C0050,Individual,M,USA,California,Home,5,No,Website,83.8,9,2744452.35,304939.15,486685.38,8941.58,993.5088888888888,False,False,False,304939.15,0,High-Activity Investment-Oriented Buyers
C0051,Individual,F,USA,Colorado,Home,3,No,Agency,82.8,4,1270440.42,317610.105,564388.0,4158.24,1039.56,False,False,False,317610.105,1,Mainstream Lower-Value Buyers
C0052,Individual,F,USA,Oregon,Investment,2,No,Client,56.9,4,1474211.53,368552.8825,555271.92,4751.7,1187.925,True,False,False,368552.8825,2,Higher-Value Property Buyers
C0053,Individual,M,USA,Arizona,Home,4,No,Agency,70.0,4,1120539.44,280134.86,368589.72,3716.98,929.245,False,False,False,280134.86,1,Mainstream Lower-Value Buyers
C0054,Company,M,USA,Nevada,Investment,5,No,Website,53.5,6,2109277.6,351546.26666666666,435374.92,6693.8,1115.6333333333334,True,False,True,351546.26666666666,0,High-Activity Investment-Oriented Buyers
C0055,Individual,F,USA,California,Home,5,Yes,Agency,50.6,4,1178979.21,294744.8025,416304.72,3959.32,989.83,False,True,False,294744.8025,1,Mainstream Lower-Value Buyers
C0056,Individual,M,USA,Oregon,Investment,5,No,Agency,59.1,4,1579301.36,394825.34,559835.83,5422.39,1355.5975,True,False,False,394825.34,2,Higher-Value Property Buyers
C0057,Individual,M,USA,California,Home,4,Yes,Agency,90.6,5,2020519.52,404103.904,589905.02,6720.719999999999,1344.1439999999998,False,True,False,404103.904,2,Higher-Value Property Buyers
C0058,Company,F,USA,California,Investment,1,Yes,Website,54.7,5,1441406.17,288281.234,494246.62,4599.2,919.84,True,True,True,288281.234,1,Mainstream Lower-Value Buyers
C0059,Individual,M,USA,California,Home,2,No,Website,53.5,4,1278854.25,319713.5625,488077.62,4409.76,1102.44,False,False,False,319713.5625,1,Mainstream Lower-Value Buyers
C0060,Individual,F,USA,California,Home,5,No,Website,51.7,4,1355662.25,338915.5625,485561.11,4477.87,1119.4675,False,False,False,338915.5625,2,Higher-Value Property Buyers
C0061,Individual,M,USA,Utah,Home,5,No,Agency,56.6,4,1306907.58,326726.895,402081.8,4406.48,1101.62,False,False,False,326726.895,1,Mainstream Lower-Value Buyers
C0062,Individual,M,USA,California,Home,5,Yes,Client,53.5,5,1489333.49,297866.698,443358.25,5299.16,1059.832,False,True,False,297866.698,1,Mainstream Lower-Value Buyers
C0063,Individual,F,USA,Arizona,Home,4,No,Website,53.5,5,1625480.88,325096.176,538375.93,5562.6900000000005,1112.538,False,False,False,325096.176,2,Higher-Value Property Buyers
C0064,Individual,M,UK,Northern Ireland,Investment,4,No,Agency,49.9,4,1448881.28,362220.32,574929.03,4383.4,1095.85,True,False,False,362220.32,2,Higher-Value Property Buyers
C0065,Individual,M,USA,California,Home,1,No,Agency,53.5,4,1557125.73,389281.4325,539032.17,5046.11,1261.5275,False,False,False,389281.4325,2,Higher-Value Property Buyers
C0066,Individual,F,USA,California,Investment,3,No,Client,53.5,4,1107164.17,276791.0425,366314.0,3731.02,932.755,True,False,False,276791.0425,1,Mainstream Lower-Value Buyers
C0067,Individual,M,USA,California,Home,2,No,Website,46.6,5,1431941.84,286388.368,468196.39,4259.09,851.818,False,False,False,286388.368,1,Mainstream Lower-Value Buyers
C0068,Individual,F,USA,Colorado,Home,5,Yes,Agency,53.5,4,1572779.33,393194.8325,459558.39,5801.17,1450.2925,False,True,False,393194.8325,2,Higher-Value Property Buyers
C0069,Individual,M,USA,California,Investment,4,No,Website,53.8,5,1439142.47,287828.494,479080.93,4787.94,957.588,True,False,False,287828.494,1,Mainstream Lower-Value Buyers
C0070,Individual,F,USA,Arizona,Home,4,Yes,Website,53.5,5,1521570.62,304314.124,448702.07,5196.37,1039.274,False,True,False,304314.124,1,Mainstream Lower-Value Buyers
C0071,Individual,M,USA,California,Home,1,Yes,Client,53.5,5,1150384.09,230076.81800000003,415775.9,4166.9,833.3799999999999,False,True,False,230076.81800000003,1,Mainstream Lower-Value Buyers
C0072,Individual,M,USA,Nevada,Investment,2,No,Website,70.9,6,2246488.58,374414.76333333337,674634.08,6776.95,1129.4916666666666,True,False,False,374414.76333333337,0,High-Activity Investment-Oriented Buyers
C0073,Individual,F,Denmark,Capital Region,Investment,1,No,Agency,59.0,4,1413902.33,353475.5825,527107.1,4776.13,1194.0325,True,False,False,353475.5825,2,Higher-Value Property Buyers
C0074,Individual,F,USA,Oregon,Investment,5,No,Client,65.0,5,1709458.65,341891.73,573381.83,5690.22,1138.044,True,False,False,341891.73,2,Higher-Value Property Buyers
C0075,Individual,F,USA,California,Home,3,No,Website,53.7,4,1269395.74,317348.935,590971.72,4193.37,1048.3425,False,False,False,317348.935,1,Mainstream Lower-Value Buyers
C0076,Individual,M,USA,California,Home,5,No,Agency,53.5,6,1905852.09,317642.015,534630.42,6403.68,1067.28,False,False,False,317642.015,0,High-Activity Investment-Oriented Buyers
C0077,Individual,M,USA,California,Home,5,No,Website,53.5,5,1880012.18,376002.436,590130.14,5959.13,1191.826,False,False,False,376002.436,2,Higher-Value Property Buyers
C0078,Individual,F,USA,California,Home,5,No,Website,53.5,4,1685882.39,421470.5975,485944.71,5662.52,1415.63,False,False,False,421470.5975,2,Higher-Value Property Buyers
C0079,Individual,M,Belgium,Brussels,Investment,4,No,Website,53.5,4,1456436.3,364109.075,579893.68,4876.27,1219.0675,True,False,False,364109.075,2,Higher-Value Property Buyers
C0080,Individual,F,USA,California,Investment,3,No,Website,53.5,5,1427531.56,285506.31200000003,502978.74,4825.12,965.024,True,False,False,285506.31200000003,1,Mainstream Lower-Value Buyers
C0081,Individual,F,USA,California,Home,4,Yes,Website,53.5,4,1522144.26,380536.065,655054.84,5010.98,1252.745,False,True,False,380536.065,2,Higher-Value Property Buyers
C0082,Individual,F,USA,Virginia,Investment,5,No,Client,53.5,5,1282267.95,256453.59,336673.91,4421.12,884.2239999999999,True,False,False,256453.59,1,Mainstream Lower-Value Buyers
C0083,Individual,M,USA,California,Home,5,No,Website,53.5,6,1513641.46,252273.57666666663,360807.72,5108.37,851.395,False,False,False,252273.57666666663,1,Mainstream Lower-Value Buyers
C0084,Individual,M,USA,Wyoming,Home,3,No,Agency,53.5,5,1762231.92,352446.384,517695.89,5418.06,1083.612,False,False,False,352446.384,2,Higher-Value Property Buyers
C0085,Individual,M,USA,California,Home,4,Yes,Agency,53.5,4,1185505.46,296376.365,480842.09,3945.58,986.395,False,True,False,296376.365,1,Mainstream Lower-Value Buyers
C0086,Individual,F,USA,California,Home,3,Yes,Website,53.5,5,1928188.61,385637.722,525721.08,6773.17,1354.634,False,True,False,385637.722,2,Higher-Value Property Buyers
C0087,Individual,F,USA,California,Home,4,No,Agency,53.5,4,1681153.28,420288.32,508371.29,5150.65,1287.6625,False,False,False,420288.32,2,Higher-Value Property Buyers
C0088,Individual,M,USA,Oregon,Investment,2,No,Website,53.5,6,1450519.57,241753.2616666667,308622.38,4721.84,786.9733333333334,True,False,False,241753.2616666667,1,Mainstream Lower-Value Buyers
C0089,Individual,M,USA,California,Home,3,No,Agency,53.5,4,1041853.81,260463.4525,302297.34,3419.16,854.79,False,False,False,260463.4525,1,Mainstream Lower-Value Buyers
C0090,Individual,M,USA,California,Home,5,No,Client,53.5,5,980850.42,196170.084,252200.58,3518.99,703.798,False,False,False,196170.084,1,Mainstream Lower-Value Buyers
C0091,Individual,F,USA,California,Home,4,No,Website,53.5,4,1356644.74,339161.185,432448.91,4646.71,1161.6775,False,False,False,339161.185,1,Mainstream Lower-Value Buyers
C0092,Individual,M,USA,Kansas,Home,3,No,Website,53.5,8,2817926.96,352240.87,536812.04,9744.34,1218.0425,False,False,False,352240.87,0,High-Activity Investment-Oriented Buyers
C0093,Individual,M,USA,California,Home,2,No,Agency,61.3,5,1732558.38,346511.676,438704.41,5982.33,1196.466,False,False,False,346511.676,2,Higher-Value Property Buyers
C0094,Individual,F,USA,California,Home,5,No,Website,53.5,5,1062675.82,212535.164,292598.12,3463.32,692.664,False,False,False,212535.164,1,Mainstream Lower-Value Buyers
C0095,Individual,M,USA,California,Home,3,Yes,Agency,53.5,6,1668973.02,278162.17,384992.37,5538.63,923.105,False,True,False,278162.17,1,Mainstream Lower-Value Buyers
C0096,Individual,M,USA,California,Investment,3,Yes,Website,53.5,4,1363013.17,340753.2925,452667.01,4454.46,1113.615,True,True,False,340753.2925,1,Mainstream Lower-Value Buyers
C0097,Individual,M,USA,Virginia,Home,5,Yes,Website,53.5,7,2189906.04,312843.72000000003,491025.48,7432.059999999999,1061.722857142857,False,True,False,312843.72000000003,0,High-Activity Investment-Oriented Buyers
C0098,Individual,F,Russia,Saint Petersburg,Home,3,Yes,Agency,53.5,4,1131592.65,282898.1625,427106.32,3927.82,981.955,False,True,False,282898.1625,1,Mainstream Lower-Value Buyers
C0099,Individual,M,USA,California,Investment,4,No,Website,82.1,6,2000308.58,333384.76333333337,417894.67,7209.530000000001,1201.5883333333334,True,False,False,333384.76333333337,0,High-Activity Investment-Oriented Buyers
C0100,Individual,M,USA,California,Home,3,No,Website,54.6,4,1449544.65,362386.1625,526802.73,4697.76,1174.44,False,False,False,362386.1625,2,Higher-Value Property Buyers
C0101,Individual,F,USA,Nevada,Home,3,No,Website,72.8,4,1125013.8,281253.45,392645.79,3497.38,874.345,False,False,False,281253.45,1,Mainstream Lower-Value Buyers
C0102,Individual,M,USA,California,Investment,5,Yes,Website,53.5,9,3403263.85,378140.4277777778,621956.37,11006.18,1222.908888888889,True,True,False,378140.4277777778,0,High-Activity Investment-Oriented Buyers
C0103,Individual,M,USA,Colorado,Home,3,No,Website,53.5,5,1483838.77,296767.754,408331.77,4824.9,964.98,False,False,False,296767.754,1,Mainstream Lower-Value Buyers
C0104,Individual,M,USA,California,Home,5,No,Website,53.5,5,1677155.01,335431.002,510060.4,5451.5,1090.3,False,False,False,335431.002,2,Higher-Value Property Buyers
C0105,Individual,F,USA,California,Investment,2,Yes,Website,64.2,5,1328084.36,265616.87200000003,338774.34,4254.74,850.948,True,True,False,265616.87200000003,1,Mainstream Lower-Value Buyers
C0106,Individual,M,USA,Colorado,Home,4,No,Website,70.6,4,957679.27,239419.8175,452919.18,3283.9300000000003,820.9825000000001,False,False,False,239419.8175,1,Mainstream Lower-Value Buyers
C0107,Individual,M,USA,California,Home,4,Yes,Agency,64.4,5,1715058.23,343011.646,537998.71,5513.3,1102.66,False,True,False,343011.646,2,Higher-Value Property Buyers
C0108,Individual,M,USA,California,Home,4,No,Agency,53.5,6,1998798.72,333133.12,583919.98,6625.02,1104.1699999999998,False,False,False,333133.12,0,High-Activity Investment-Oriented Buyers
C0109,Individual,F,USA,California,Investment,5,Yes,Agency,90.7,5,1995551.09,399110.218,579807.82,6429.27,1285.854,True,True,False,399110.218,2,Higher-Value Property Buyers
C0110,Individual,F,USA,California,Investment,5,Yes,Agency,64.6,5,1205555.46,241111.092,487772.33,4057.01,811.4019999999999,True,True,False,241111.092,1,Mainstream Lower-Value Buyers
C0111,Individual,M,USA,Arizona,Home,2,Yes,Website,53.5,4,1198421.22,299605.305,476038.28,3586.87,896.7175,False,True,False,299605.305,1,Mainstream Lower-Value Buyers
C0112,Individual,F,USA,California,Investment,1,Yes,Agency,63.2,5,1775142.2,355028.44,619787.84,5579.93,1115.986,True,True,False,355028.44,2,Higher-Value Property Buyers
C0113,Individual,M,USA,Utah,Investment,4,No,Agency,53.5,4,1414433.46,353608.365,535865.96,4746.86,1186.715,True,False,False,353608.365,2,Higher-Value Property Buyers
C0114,Individual,F,USA,California,Home,1,Yes,Website,53.5,4,1124004.05,281001.0125,382143.98,3731.78,932.945,False,True,False,281001.0125,1,Mainstream Lower-Value Buyers
C0115,Individual,F,USA,California,Home,5,No,Agency,45.1,5,1757354.59,351470.918,460001.26,5718.46,1143.692,False,False,False,351470.918,2,Higher-Value Property Buyers
C0116,Individual,F,USA,California,Investment,4,No,Website,68.4,8,2484590.08,310573.76,629574.18,8319.14,1039.8925,True,False,False,310573.76,0,High-Activity Investment-Oriented Buyers
C0117,Individual,M,UK,Scotland,Investment,4,No,Agency,59.2,8,2884556.25,360569.53125,602366.78,9086.29,1135.78625,True,False,False,360569.53125,0,High-Activity Investment-Oriented Buyers
C0118,Individual,F,USA,Oregon,Investment,5,No,Agency,75.1,4,1218377.19,304594.2975,461101.0,4036.49,1009.1225,True,False,False,304594.2975,1,Mainstream Lower-Value Buyers
C0119,Individual,F,USA,California,Home,1,Yes,Website,53.5,4,1603043.92,400760.98,527627.25,5597.26,1399.315,False,True,False,400760.98,2,Higher-Value Property Buyers
C0120,Individual,F,USA,California,Home,4,Yes,Website,53.5,5,1753587.39,350717.478,577922.22,6219.8,1243.96,False,True,False,350717.478,2,Higher-Value Property Buyers
C0121,Individual,M,USA,Nevada,Home,2,No,Website,53.5,5,1169150.31,233830.062,418772.73,4033.44,806.688,False,False,False,233830.062,1,Mainstream Lower-Value Buyers
C0122,Individual,F,USA,California,Home,1,Yes,Agency,53.5,4,1412560.68,353140.17,550180.2,4343.9,1085.975,False,True,False,353140.17,2,Higher-Value Property Buyers
C0123,Individual,F,USA,California,Home,4,Yes,Website,53.5,5,1821348.69,364269.738,502456.39,6153.299999999999,1230.66,False,True,False,364269.738,2,Higher-Value Property Buyers
C0124,Individual,F,USA,California,Home,4,No,Agency,53.5,5,1613985.08,322797.016,367468.14,5923.15,1184.63,False,False,False,322797.016,2,Higher-Value Property Buyers
C0125,Individual,M,USA,Colorado,Home,4,Yes,Agency,53.5,4,1341108.25,335277.0625,503351.9,4594.19,1148.5475,False,True,False,335277.0625,2,Higher-Value Property Buyers
C0126,Individual,F,USA,California,Investment,2,No,Agency,51.5,5,1319929.46,263985.892,498779.18,4250.26,850.052,True,False,False,263985.892,1,Mainstream Lower-Value Buyers
C0127,Individual,M,USA,Nevada,Home,2,Yes,Website,53.5,4,967474.23,241868.5575,355073.4,3060.34,765.085,False,True,False,241868.5575,1,Mainstream Lower-Value Buyers
C0128,Company,M,USA,Nevada,Investment,5,Yes,Website,53.5,5,1639392.9500000002,327878.59,535798.14,5270.17,1054.034,True,True,True,327878.59,2,Higher-Value Property Buyers
C0129,Individual,M,USA,Arizona,Investment,5,No,Website,53.5,4,1748372.75,437093.1875,584468.16,5187.9400000000005,1296.985,True,False,False,437093.1875,2,Higher-Value Property Buyers
C0130,Individual,M,USA,Nevada,Home,3,Yes,Website,53.5,4,1488042.88,372010.72,509032.38,4860.14,1215.035,False,True,False,372010.72,2,Higher-Value Property Buyers
C0131,Individual,M,USA,California,Home,1,No,Website,52.1,5,1428058.5499999998,285611.71,538931.69,4643.97,928.794,False,False,False,285611.71,1,Mainstream Lower-Value Buyers
C0132,Individual,M,USA,Nevada,Home,1,Yes,Agency,53.5,4,1203775.04,300943.76,403463.16,4100.71,1025.1775,False,True,False,300943.76,1,Mainstream Lower-Value Buyers
C0133,Individual,M,USA,California,Investment,4,No,Agency,53.5,4,1449799.93,362449.9825,457718.07,4709.610000000001,1177.4025,True,False,False,362449.9825,2,Higher-Value Property Buyers
C0134,Individual,F,Russia,Novosibirsk,Investment,3,No,Website,53.5,5,1761669.87,352333.974,595167.57,5478.01,1095.602,True,False,False,352333.974,2,Higher-Value Property Buyers
C0135,Individual,M,USA,Utah,Investment,2,No,Agency,84.8,4,1221442.92,305360.73,446236.57,4174.4400000000005,1043.61,True,False,False,305360.73,1,Mainstream Lower-Value Buyers
C0136,Individual,M,USA,California,Home,3,No,Website,53.5,5,1892554.72,378510.944,550949.39,6221.37,1244.274,False,False,False,378510.944,2,Higher-Value Property Buyers
C0137,Individual,F,USA,California,Home,3,Yes,Website,53.5,4,989750.45,247437.6125,328405.23,3420.28,855.0699999999999,False,True,False,247437.6125,1,Mainstream Lower-Value Buyers
C0138,Individual,F,USA,Oregon,Investment,3,Yes,Website,53.5,5,1367824.55,273564.91000000003,362755.75,4572.06,914.412,True,True,False,273564.91000000003,1,Mainstream Lower-Value Buyers
C0139,Individual,F,USA,California,Home,5,Yes,Website,53.5,5,1807366.3,361473.26,448450.76,5683.47,1136.694,False,True,False,361473.26,2,Higher-Value Property Buyers
C0140,Individual,F,USA,California,Home,3,No,Website,53.5,5,1559561.53,311912.306,523923.26,5208.610000000001,1041.7220000000002,False,False,False,311912.306,2,Higher-Value Property Buyers
C0141,Individual,F,USA,California,Home,5,No,Website,53.5,5,1765019.09,353003.818,520595.39,5444.03,1088.806,False,False,False,353003.818,2,Higher-Value Property Buyers
C0142,Individual,F,USA,Nevada,Home,3,Yes,Website,45.6,5,1673770.19,334754.038,479876.57,5746.98,1149.396,False,True,False,334754.038,2,Higher-Value Property Buyers
C0143,Individual,M,USA,California,Home,1,No,Website,53.5,8,2389960.3,298745.0375,512659.6,8069.06,1008.6325,False,False,False,298745.0375,0,High-Activity Investment-Oriented Buyers
C0144,Individual,M,USA,California,Home,4,No,Agency,53.5,5,1897739.74,379547.948,564424.34,6031.77,1206.354,False,False,False,379547.948,2,Higher-Value Property Buyers
C0145,Individual,F,USA,California,Home,4,No,Website,53.5,5,1746571.55,349314.31,499388.61,6486.6,1297.3200000000002,False,False,False,349314.31,2,Higher-Value Property Buyers
C0146,Individual,M,USA,Colorado,Home,2,No,Website,60.9,4,1481536.39,370384.0975,540074.5,4970.57,1242.6425,False,False,False,370384.0975,2,Higher-Value Property Buyers
C0147,Individual,M,USA,Utah,Home,4,No,Client,53.5,5,1398309.27,279661.854,509124.24,5002.35,1000.47,False,False,False,279661.854,1,Mainstream Lower-Value Buyers
C0148,Individual,M,USA,Colorado,Investment,4,Yes,Agency,53.5,4,1700383.7,425095.925,597216.83,5654.37,1413.5925,True,True,False,425095.925,2,Higher-Value Property Buyers
C0149,Individual,M,Russia,Krasnodar Krai,Investment,3,No,Agency,68.1,4,1049009.0,262252.25,343513.68,3625.940000000001,906.485,True,False,False,262252.25,1,Mainstream Lower-Value Buyers
C0150,Individual,M,USA,California,Home,2,Yes,Website,53.5,4,1846066.58,461516.645,543777.59,6003.8,1500.95,False,True,False,461516.645,2,Higher-Value Property Buyers
C0151,Individual,F,USA,Oregon,Home,1,No,Agency,53.5,5,1589086.32,317817.264,537546.81,5617.21,1123.442,False,False,False,317817.264,2,Higher-Value Property Buyers
C0152,Individual,F,USA,California,Investment,2,Yes,Agency,53.5,7,2539205.93,362743.7042857143,603518.77,8489.31,1212.7585714285713,True,True,False,362743.7042857143,0,High-Activity Investment-Oriented Buyers
C0153,Individual,F,USA,California,Home,5,No,Website,53.5,5,1560375.26,312075.052,570549.18,4720.16,944.032,False,False,False,312075.052,1,Mainstream Lower-Value Buyers
